Action,Time,Ticker,Result (GBP),Charge amount (GBP),Stamp duty (GBP),Transaction fee (GBP)
Market sell,2020-04-28,AIR,1.49,,,
Market sell,2020-04-29,BYND,-2.78,,,
Limit sell,2020-04-30,BP,0.57,,,
Stop sell,2020-04-30,BP,0.23,,,
Stop limit sell,2020-04-30,BP,0.05,,,
Stop limit sell,2020-04-30,BP,0.04,,,
Stop sell,2020-04-30,BP,0.04,,,
Limit sell,2020-04-30,BP,0.05,,,
Market sell,2020-04-30,TWO,5.68,,,
Market sell,2020-04-30,TWO,79.51,,,0.01
Market sell,2020-04-30,NRZ,83.15,,,0.01
Market sell,2020-05-04,IMB,-0.88,,,
Market sell,2020-05-04,NRZ,-6.7,,,0.01
Market sell,2020-05-04,NAT,0.41,,,
Market sell,2020-05-05,CCL,-1.93,,,
Market sell,2020-05-05,IVR,1.64,,,0.01
Market sell,2020-05-06,KOS,0.32,,,
Market sell,2020-05-06,MCRO,9.0,,,
Limit sell,2020-05-06,CPE,-1.06,,,
Stop sell,2020-05-07,NAT,-0.79,,,
Market sell,2020-05-08,DDD,4.96,,,
Market sell,2020-05-08,BGS,1.14,,,
Market sell,2020-05-08,DDD,2.09,,,
Market sell,2020-05-08,AGNC,1.34,,,
Market sell,2020-05-08,BHC,3.06,,,
Market sell,2020-05-08,BAC,0.22,,,
Market sell,2020-05-08,DESP,7.53,,,
Market sell,2020-05-08,O,1.7,,,
Market sell,2020-05-08,GNL,0.09,,,
Market sell,2020-05-08,NRZ,1.72,,,
Market sell,2020-05-08,CIM,1.72,,,
Market sell,2020-05-08,T,0.13,,,
Market sell,2020-05-11,AV,0.42,,,
Market sell,2020-05-11,UIHC,2.46,,,
Market sell,2020-05-11,NET,2.92,,,
Market sell,2020-05-11,O,0.68,,,
Market sell,2020-05-12,SPG,1.1,,,
Market sell,2020-05-12,LGEN,2.46,,,
Market sell,2020-05-12,BA,0.3,,,
Market sell,2020-05-12,UAA,3.16,,,
Market sell,2020-05-12,KOS,0.15,,,
Market sell,2020-05-12,SJR,0.17,,,
Market sell,2020-05-13,IAG,-5.78,,,
Market sell,2020-05-13,GRPN,-0.38,,,
Market sell,2020-05-13,GRPN,-0.05,,,
Market sell,2020-05-13,CPE,0.25,,,
Market sell,2020-05-14,SSE,1.3,,,
Market sell,2020-05-14,INGA,-0.02,,,
Market sell,2020-05-14,CCL,2.51,,,
Market sell,2020-05-14,AAPL,1.27,,,
Market sell,2020-05-14,T,0.35,,,
Market sell,2020-05-19,BAC,2.2,,,
Market sell,2020-05-21,NFLX,0.66,,,
Market sell,2020-05-22,BP,-1.13,,,
Market sell,2020-05-27,HDLG,0.5,,,
Market sell,2020-05-27,BABA,0.56,,,
Market sell,2020-05-29,BMO,10.93,,,
Market sell,2020-05-29,BNC,0.72,,,
Market sell,2020-05-29,STAG,0.76,,,
Market sell,2020-05-29,WES,2.89,,,
Market sell,2020-05-29,PK,3.69,,,
Market sell,2020-06-01,NYMT,0.66,,,
Market sell,2020-06-02,DXC,1.93,,,
Market sell,2020-06-02,TENB,0.93,,,
Market sell,2020-06-02,TWO,1.56,,,
Market sell,2020-06-04,LK,93.73,,,
Market sell,2020-06-04,NLOK,2.14,,,
Market sell,2020-06-05,VIR,-3.21,,,
Market sell,2020-06-05,ENPH,0.42,,,
Market sell,2020-06-05,INO,-7.01,,,
Market sell,2020-06-05,VAL,127.92,,,
Market sell,2020-06-08,LK,3.87,,,
Market sell,2020-06-08,LTM,18.71,,,
Market sell,2020-06-08,SAB,0.94,,,
Market sell,2020-06-09,RDSB,6.23,,,
Market sell,2020-06-09,BT,2.89,,,
Market sell,2020-06-09,SPCE,2.37,,,
Market sell,2020-06-09,CPE,72.96,,,
Market sell,2020-06-09,LTM,6.48,,,
Market sell,2020-06-10,CLVS,0.14,,,
Market sell,2020-06-10,PT,0.53,,,
Market sell,2020-06-10,PT,0.03,,,
Market sell,2020-06-10,PT,2.79,,,
Market sell,2020-06-11,IAG,42.42,,,
Market sell,2020-06-11,INGA,1.08,,,
Market sell,2020-06-11,SSE,0.88,,,
Market sell,2020-06-11,BBVA,23.03,,,
